customerID,ChurnProbability,risk_tier,Contract,tenure,MonthlyCharges
4424-TKOPW,0.87,High Risk,Month-to-month,2,93.85
9300-AGZNL,0.87,High Risk,Month-to-month,1,94.0
5178-LMXOP,0.87,High Risk,Month-to-month,1,95.1
2720-WGKHP,0.87,High Risk,Month-to-month,2,94.0
9497-QCMMS,0.87,High Risk,Month-to-month,1,93.55
7024-OHCCK,0.87,High Risk,Month-to-month,2,93.85
7216-EWTRS,0.87,High Risk,Month-to-month,1,100.8
8098-LLAZX,0.86,High Risk,Month-to-month,4,95.45
1374-DMZUI,0.86,High Risk,Month-to-month,4,94.3
5567-WSELE,0.86,High Risk,Month-to-month,3,94.6
5150-ITWWB,0.86,High Risk,Month-to-month,3,94.85
3068-OMWZA,0.85,High Risk,Month-to-month,1,88.8
4822-RVYBB,0.85,High Risk,Month-to-month,8,100.6
6496-SLWHQ,0.85,High Risk,Month-to-month,3,105.0
4910-GMJOT,0.85,High Risk,Month-to-month,1,94.6
8149-RSOUN,0.85,High Risk,Month-to-month,1,93.85
5419-JPRRN,0.85,High Risk,Month-to-month,1,101.45
6861-XWTWQ,0.85,High Risk,Month-to-month,7,99.25
5192-EBGOV,0.84,High Risk,Month-to-month,1,85.7
9681-OXGVC,0.84,High Risk,Month-to-month,5,100.5
4695-WJZUE,0.84,High Risk,Month-to-month,2,88.55
0295-PPHDO,0.84,High Risk,Month-to-month,1,95.45
8884-ADFVN,0.84,High Risk,Month-to-month,7,101.95
6023-YEBUP,0.84,High Risk,Month-to-month,3,100.95
1400-MMYXY,0.84,High Risk,Month-to-month,3,105.9
3158-MOERK,0.84,High Risk,Month-to-month,2,96.0
7851-WZEKY,0.84,High Risk,Month-to-month,2,95.15
0781-LKXBR,0.84,High Risk,Month-to-month,9,100.5
3049-SOLAY,0.84,High Risk,Month-to-month,3,95.2
2446-BEGGB,0.84,High Risk,Month-to-month,6,98.25
1273-MTETI,0.83,High Risk,Month-to-month,4,88.85
2545-EBUPK,0.83,High Risk,Month-to-month,2,84.05
1069-XAIEM,0.83,High Risk,Month-to-month,1,85.05
2660-EMUBI,0.83,High Risk,Month-to-month,10,95.35
4826-XTSOH,0.83,High Risk,Month-to-month,1,86.05
9057-SIHCH,0.83,High Risk,Month-to-month,3,96.6
2865-TCHJW,0.83,High Risk,Month-to-month,4,89.2
3389-YGYAI,0.83,High Risk,Month-to-month,8,105.5
7450-NWRTR,0.83,High Risk,Month-to-month,12,99.45
1415-YFWLT,0.83,High Risk,Month-to-month,1,89.3
6630-UJZMY,0.83,High Risk,Month-to-month,4,83.25
9305-CDSKC,0.83,High Risk,Month-to-month,8,99.65
2012-NWRPA,0.83,High Risk,Month-to-month,11,99.55
5277-ZLOOR,0.83,High Risk,Month-to-month,2,85.55
6521-YYTYI,0.82,High Risk,Month-to-month,1,93.3
8161-QYMTT,0.82,High Risk,Month-to-month,7,94.1
3793-MMFUH,0.82,High Risk,Month-to-month,13,95.05
0107-YHINA,0.82,High Risk,Month-to-month,1,99.75
4626-GYCZP,0.82,High Risk,Month-to-month,7,93.85
6350-XFYGW,0.82,High Risk,Month-to-month,4,94.75
4750-ZRXIU,0.82,High Risk,Month-to-month,4,84.6
3988-RQIXO,0.82,High Risk,Month-to-month,1,91.3
1455-UGQVH,0.81,High Risk,Month-to-month,10,98.5
4145-UQXUQ,0.81,High Risk,Month-to-month,8,92.1
7668-XCFYV,0.81,High Risk,Month-to-month,17,92.55
1075-BGWOH,0.81,High Risk,Month-to-month,16,98.75
4078-SAYYN,0.81,High Risk,Month-to-month,11,100.75
0897-FEGMU,0.81,High Risk,Month-to-month,11,99.5
2205-YMZZJ,0.81,High Risk,Month-to-month,7,84.8
0196-VULGZ,0.81,High Risk,Month-to-month,6,84.35
2968-SSGAA,0.81,High Risk,Month-to-month,10,100.6
4587-VVTOX,0.81,High Risk,Month-to-month,6,105.3
2656-TABEH,0.81,High Risk,Month-to-month,4,100.2
7943-RQCHR,0.81,High Risk,Month-to-month,9,94.75
9061-TIHDA,0.81,High Risk,Month-to-month,13,95.25
4847-TAJYI,0.81,High Risk,Month-to-month,6,89.35
6969-MVBAI,0.81,High Risk,Month-to-month,9,90.1
9546-CQJSU,0.81,High Risk,Month-to-month,2,91.4
1724-BQUHA,0.81,High Risk,Month-to-month,5,89.5
3320-VEOYC,0.81,High Risk,Month-to-month,14,95.6
4912-PIGUY,0.81,High Risk,Month-to-month,1,84.6
9282-IZGQK,0.81,High Risk,Month-to-month,1,85.0
0564-JJHGS,0.81,High Risk,Month-to-month,9,95.5
8775-LHDJH,0.81,High Risk,Month-to-month,1,90.6
8414-MYSHR,0.8,High Risk,Month-to-month,5,91.4
3722-WPXTK,0.8,High Risk,Month-to-month,1,88.35
8603-IJWDN,0.8,High Risk,Month-to-month,1,86.6
3489-HHPFY,0.8,High Risk,Month-to-month,2,84.05
0754-UKWQP,0.8,High Risk,Month-to-month,2,95.85
6683-VLCTZ,0.8,High Risk,Month-to-month,20,98.55
5935-FCCNB,0.8,High Risk,Month-to-month,17,94.2
9221-OTIVJ,0.8,High Risk,Month-to-month,14,104.85
4927-WWOOZ,0.8,High Risk,Month-to-month,2,91.45
9965-YOKZB,0.8,High Risk,Month-to-month,9,83.85
8245-UMPYT,0.8,High Risk,Month-to-month,16,96.4
0259-GBZSH,0.8,High Risk,Month-to-month,2,85.65
5383-MMTWC,0.8,High Risk,Month-to-month,8,84.0
2265-CYWIV,0.8,High Risk,Month-to-month,4,99.6
5519-NPHVG,0.8,High Risk,Month-to-month,12,94.2
8972-HJWNV,0.8,High Risk,Month-to-month,7,84.55
1304-NECVQ,0.8,High Risk,Month-to-month,2,78.55
4115-NZRKS,0.8,High Risk,Month-to-month,7,89.15
3319-DWOEP,0.8,High Risk,Month-to-month,6,95.75
0021-IKXGC,0.8,High Risk,Month-to-month,1,72.1
3811-VBYBZ,0.8,High Risk,Month-to-month,7,99.8
5565-FILXA,0.8,High Risk,Month-to-month,16,96.15
7234-FECYN,0.8,High Risk,Month-to-month,8,101.35
1875-QIVME,0.8,High Risk,Month-to-month,2,104.4
1455-ESIQH,0.8,High Risk,Month-to-month,1,89.1
8058-JMEQO,0.8,High Risk,Month-to-month,9,84.45
7577-SWIFR,0.8,High Risk,Month-to-month,1,89.25
1143-NMNQJ,0.8,High Risk,Month-to-month,2,85.7
2982-VPSGI,0.8,High Risk,Month-to-month,11,94.0
1833-VGRUM,0.8,High Risk,Month-to-month,1,74.2
0970-ETWGE,0.8,High Risk,Month-to-month,1,89.55
3027-ZTDHO,0.8,High Risk,Month-to-month,1,89.9
1624-NALOJ,0.79,High Risk,Month-to-month,5,89.8
6230-BSUXY,0.79,High Risk,Month-to-month,1,85.0
9611-CTWIH,0.79,High Risk,Month-to-month,3,89.45
7488-MXJIV,0.79,High Risk,Month-to-month,4,85.65
7228-OMTPN,0.79,High Risk,Month-to-month,4,88.45
3551-HUAZH,0.79,High Risk,Month-to-month,1,74.4
8739-XNIKG,0.79,High Risk,Month-to-month,5,84.0
0187-QSXOE,0.79,High Risk,Month-to-month,7,89.0
4988-IQIGL,0.79,High Risk,Month-to-month,1,75.35
5380-AFSSK,0.79,High Risk,Month-to-month,5,93.9
2725-KXXWT,0.79,High Risk,Month-to-month,1,90.75
8473-VUVJN,0.79,High Risk,Month-to-month,1,73.65
1658-BYGOY,0.79,High Risk,Month-to-month,18,95.45
5240-IJOQT,0.79,High Risk,Month-to-month,1,74.7
2642-DTVCO,0.79,High Risk,Month-to-month,9,85.05
4102-OQUPX,0.79,High Risk,Month-to-month,1,74.4
6894-LFHLY,0.79,High Risk,Month-to-month,1,75.75
3621-CEOVK,0.79,High Risk,Month-to-month,14,100.2
3902-FOIGH,0.79,High Risk,Month-to-month,12,101.35
6567-HOOPW,0.79,High Risk,Month-to-month,1,79.2
2034-GDRCN,0.79,High Risk,Month-to-month,2,90.4
4548-SDBKE,0.79,High Risk,Month-to-month,5,85.2
7225-CBZPL,0.79,High Risk,Month-to-month,17,94.8
9134-CEQMF,0.79,High Risk,Month-to-month,7,89.5
1564-NTYXF,0.79,High Risk,Month-to-month,13,82.0
7526-BEZQB,0.79,High Risk,Month-to-month,12,96.05
6513-EECDB,0.79,High Risk,Month-to-month,1,73.55
6474-FVJLC,0.79,High Risk,Month-to-month,2,86.0
8580-AECUZ,0.79,High Risk,Month-to-month,1,79.1
3606-TWKGI,0.79,High Risk,Month-to-month,13,106.9
8593-WHYHV,0.79,High Risk,Month-to-month,3,85.3
0723-DRCLG,0.79,High Risk,Month-to-month,1,74.45
8337-UPOAQ,0.79,High Risk,Month-to-month,10,89.8
3452-GWUIN,0.79,High Risk,Month-to-month,19,94.95
7274-RTAPZ,0.79,High Risk,Month-to-month,1,90.55
7398-SKNQZ,0.79,High Risk,Month-to-month,3,94.9
4094-NSEDU,0.78,High Risk,Month-to-month,21,94.25
1197-BVMVG,0.78,High Risk,Month-to-month,4,74.45
3727-RJMEO,0.78,High Risk,Month-to-month,6,82.85
4713-LZDRV,0.78,High Risk,Month-to-month,2,79.6
6108-OQZDQ,0.78,High Risk,Month-to-month,4,97.95
3097-NQYSN,0.78,High Risk,Month-to-month,2,86.85
0236-HFWSV,0.78,High Risk,Month-to-month,15,93.35
0697-ZMSWS,0.78,High Risk,Month-to-month,4,85.65
4140-MUHUG,0.78,High Risk,Month-to-month,3,86.85
3643-AHCFP,0.78,High Risk,Month-to-month,7,95.6
4192-GORJT,0.78,High Risk,Month-to-month,5,94.45
1626-ERCMM,0.78,High Risk,Month-to-month,20,94.55
2462-XIIJB,0.78,High Risk,Month-to-month,5,92.5
0722-TROQR,0.78,High Risk,Month-to-month,4,74.9
1579-KLYDT,0.78,High Risk,Month-to-month,7,90.45
1389-CXMLU,0.78,High Risk,Month-to-month,3,91.05
9248-OJYKK,0.78,High Risk,Month-to-month,1,76.45
3318-NMQXL,0.78,High Risk,Month-to-month,3,92.0
5299-SJCZT,0.78,High Risk,Month-to-month,3,101.55
4929-XIHVW,0.77,High Risk,Month-to-month,2,95.5
2027-FECZV,0.77,High Risk,Month-to-month,12,106.7
9025-AOMKI,0.77,High Risk,Month-to-month,6,93.55
0655-RBDUG,0.77,High Risk,Month-to-month,7,98.05
7779-LGOVN,0.77,High Risk,Month-to-month,10,86.65
8931-GJJIQ,0.77,High Risk,Month-to-month,9,83.3
8357-EQXFO,0.77,High Risk,Month-to-month,7,95.35
6328-ZPBGN,0.77,High Risk,Month-to-month,11,95.15
2672-HUYVI,0.77,High Risk,Month-to-month,6,91.1
0680-DFNNY,0.77,High Risk,Month-to-month,15,101.1
8258-GSTJK,0.77,High Risk,Month-to-month,3,77.0
1925-TIBLE,0.77,High Risk,Month-to-month,7,86.5
5698-BQJOH,0.77,High Risk,Month-to-month,9,94.4
9231-ZJYAM,0.77,High Risk,Month-to-month,4,78.85
4086-YQSNZ,0.77,High Risk,Month-to-month,3,80.4
6015-VVHHE,0.77,High Risk,Month-to-month,5,83.15
3387-VATUS,0.77,High Risk,Month-to-month,5,94.85
1173-XZPYF,0.77,High Risk,Month-to-month,11,89.2
7576-OYWBN,0.77,High Risk,Month-to-month,3,76.05
4951-UKAAQ,0.77,High Risk,Month-to-month,4,88.95
3178-FESZO,0.77,High Risk,Month-to-month,1,100.25
4060-LDNLU,0.77,High Risk,Month-to-month,7,96.2
2990-HWIML,0.77,High Risk,Month-to-month,6,89.5
0916-QOFDP,0.77,High Risk,Month-to-month,14,95.8
0325-XBFAC,0.77,High Risk,Month-to-month,8,94.7
6161-UUUTA,0.77,High Risk,Month-to-month,3,79.9
9290-SHCMB,0.77,High Risk,Month-to-month,13,96.85
5956-VKDTT,0.77,High Risk,Month-to-month,5,74.35
9451-LPGOO,0.76,High Risk,Month-to-month,7,86.8
5644-PDMZC,0.76,High Risk,Month-to-month,2,89.5
7156-MHUGY,0.76,High Risk,Month-to-month,13,90.5
7120-RFMVS,0.76,High Risk,Month-to-month,1,84.5
5348-CAGXB,0.76,High Risk,Month-to-month,12,89.55
2202-CUYXZ,0.76,High Risk,Month-to-month,1,84.85
1157-BQCUW,0.76,High Risk,Month-to-month,1,74.95
6734-GMPVK,0.76,High Risk,Month-to-month,5,105.3
5956-YHHRX,0.76,High Risk,Month-to-month,21,104.35
9223-UCPVT,0.76,High Risk,Month-to-month,1,94.4
7074-IEVOJ,0.76,High Risk,Month-to-month,3,79.4
9124-LHCJQ,0.76,High Risk,Month-to-month,1,85.45
5597-GLBUC,0.76,High Risk,Month-to-month,1,85.45
6892-EZDTG,0.76,High Risk,Month-to-month,4,91.65
9189-JWSHV,0.76,High Risk,Month-to-month,24,93.55
7330-WZLNC,0.76,High Risk,Month-to-month,5,90.8
8087-LGYHQ,0.76,High Risk,Month-to-month,9,94.05
2123-AGEEN,0.76,High Risk,Month-to-month,7,84.35
6857-VWJDT,0.76,High Risk,Month-to-month,1,95.65
8816-VXNZD,0.76,High Risk,Month-to-month,1,75.1
9809-IMGCQ,0.76,High Risk,Month-to-month,22,96.7
4228-ZGYUW,0.76,High Risk,Month-to-month,4,90.05
9944-HKVVB,0.76,High Risk,Month-to-month,3,95.1
5229-PRWKT,0.76,High Risk,Month-to-month,8,86.55
4415-IJZTP,0.76,High Risk,Month-to-month,1,74.5
0702-PGIBZ,0.76,High Risk,Month-to-month,4,101.7
2691-NZETQ,0.76,High Risk,Month-to-month,9,85.35
6358-LYNGM,0.76,High Risk,Month-to-month,1,74.9
4514-GFCFI,0.76,High Risk,Month-to-month,16,84.75
8780-IXSTS,0.76,High Risk,Month-to-month,6,90.1
7181-BQYBV,0.76,High Risk,Month-to-month,1,102.45
3462-BJQQA,0.76,High Risk,Month-to-month,6,89.75
6210-KBBPI,0.76,High Risk,Month-to-month,9,99.45
8382-SHQEH,0.76,High Risk,Month-to-month,8,84.9
6688-UZPWD,0.76,High Risk,Month-to-month,11,102.0
6979-ZNSFF,0.76,High Risk,Month-to-month,8,87.05
4273-MBHYA,0.76,High Risk,Month-to-month,1,89.35
2215-ZAFGX,0.76,High Risk,Month-to-month,9,85.5
5052-PNLOS,0.76,High Risk,Month-to-month,3,105.35
9957-YODKZ,0.76,High Risk,Month-to-month,6,80.8
7503-ZGUZJ,0.76,High Risk,Month-to-month,1,84.65
1618-CFHME,0.75,High Risk,Month-to-month,2,75.9
1941-HOSAM,0.75,High Risk,Month-to-month,1,90.1
6615-NGGZJ,0.75,High Risk,Month-to-month,14,100.55
7439-DKZTW,0.75,High Risk,Month-to-month,1,80.55
7817-BOQPW,0.75,High Risk,Month-to-month,2,75.55
2454-RPBRZ,0.75,High Risk,Month-to-month,12,98.1
9306-CPCBC,0.75,High Risk,Month-to-month,3,74.25
7130-VTEWQ,0.75,High Risk,Month-to-month,8,75.75
9725-SCPZG,0.75,High Risk,Month-to-month,1,90.85
8168-UQWWF,0.75,High Risk,Month-to-month,11,97.85
9334-GWGOW,0.75,High Risk,Month-to-month,7,74.85
4090-KPJIP,0.75,High Risk,Month-to-month,3,74.95
8740-CRYFY,0.75,High Risk,Month-to-month,1,78.95
2868-MZAGQ,0.75,High Risk,Month-to-month,1,79.25
3295-YVUSR,0.75,High Risk,Month-to-month,2,72.6
0709-TVGUR,0.75,High Risk,Month-to-month,9,74.55
8510-AWCXC,0.75,High Risk,Month-to-month,13,100.8
5494-HECPR,0.75,High Risk,Month-to-month,1,80.25
0365-BZUWY,0.75,High Risk,Month-to-month,17,102.55
7209-JCUDS,0.75,High Risk,Month-to-month,10,94.9
5955-ERIHD,0.75,High Risk,Month-to-month,18,94.7
1981-INRFU,0.75,High Risk,Month-to-month,2,79.75
5349-IECLD,0.75,High Risk,Month-to-month,2,94.95
3398-FSHON,0.75,High Risk,Month-to-month,12,91.3
7613-LLQFO,0.75,High Risk,Month-to-month,12,84.45
