customerID,ChurnProbability,risk_tier,Contract,tenure,MonthlyCharges
9497-QCMMS,0.8732275574456502,High Risk,Month-to-month,1,93.55
9300-AGZNL,0.8719656089226712,High Risk,Month-to-month,1,94.0
7216-EWTRS,0.8716045847198299,High Risk,Month-to-month,1,100.8
7024-OHCCK,0.871094460379275,High Risk,Month-to-month,2,93.85
4424-TKOPW,0.8686982550909782,High Risk,Month-to-month,2,93.85
2720-WGKHP,0.868266065664989,High Risk,Month-to-month,2,94.0
5178-LMXOP,0.8655501029889886,High Risk,Month-to-month,1,95.1
1374-DMZUI,0.8622191242673403,High Risk,Month-to-month,4,94.3
5150-ITWWB,0.8619445190844527,High Risk,Month-to-month,3,94.85
5567-WSELE,0.85927871392413,High Risk,Month-to-month,3,94.6
8098-LLAZX,0.8587365621018207,High Risk,Month-to-month,4,95.45
8149-RSOUN,0.8520980482288137,High Risk,Month-to-month,1,93.85
6861-XWTWQ,0.8502706037727903,High Risk,Month-to-month,7,99.25
4910-GMJOT,0.8496978228855305,High Risk,Month-to-month,1,94.6
6496-SLWHQ,0.8491968905086413,High Risk,Month-to-month,3,105.0
5419-JPRRN,0.8473447860635219,High Risk,Month-to-month,1,101.45
3068-OMWZA,0.845390738529024,High Risk,Month-to-month,1,88.8
4822-RVYBB,0.8453339075442616,High Risk,Month-to-month,8,100.6
0295-PPHDO,0.8441740030964743,High Risk,Month-to-month,1,95.45
7851-WZEKY,0.8436475323384699,High Risk,Month-to-month,2,95.15
1400-MMYXY,0.842517970369438,High Risk,Month-to-month,3,105.9
8884-ADFVN,0.841391277637701,High Risk,Month-to-month,7,101.95
0781-LKXBR,0.8413421706967249,High Risk,Month-to-month,9,100.5
4695-WJZUE,0.8411673859283595,High Risk,Month-to-month,2,88.55
3158-MOERK,0.8407983681748764,High Risk,Month-to-month,2,96.0
6023-YEBUP,0.840380814512795,High Risk,Month-to-month,3,100.95
2446-BEGGB,0.8383347022656263,High Risk,Month-to-month,6,98.25
9681-OXGVC,0.8359111400219856,High Risk,Month-to-month,5,100.5
3049-SOLAY,0.8352213909905719,High Risk,Month-to-month,3,95.2
5192-EBGOV,0.8351547565650113,High Risk,Month-to-month,1,85.7
2012-NWRPA,0.8347098406510437,High Risk,Month-to-month,11,99.55
9057-SIHCH,0.8342853296172144,High Risk,Month-to-month,3,96.6
1069-XAIEM,0.8337313396117982,High Risk,Month-to-month,1,85.05
2865-TCHJW,0.833656865594183,High Risk,Month-to-month,4,89.2
2545-EBUPK,0.8326874240724116,High Risk,Month-to-month,2,84.05
7450-NWRTR,0.831531985309955,High Risk,Month-to-month,12,99.45
1273-MTETI,0.8311638055772164,High Risk,Month-to-month,4,88.85
5277-ZLOOR,0.8311299415279781,High Risk,Month-to-month,2,85.55
1415-YFWLT,0.8310412794712236,High Risk,Month-to-month,1,89.3
2660-EMUBI,0.8305827190850459,High Risk,Month-to-month,10,95.35
3389-YGYAI,0.8282379606137419,High Risk,Month-to-month,8,105.5
4826-XTSOH,0.8269378492038538,High Risk,Month-to-month,1,86.05
6630-UJZMY,0.8260189347648731,High Risk,Month-to-month,4,83.25
9305-CDSKC,0.8251078222413176,High Risk,Month-to-month,8,99.65
3988-RQIXO,0.8238386393738691,High Risk,Month-to-month,1,91.3
4626-GYCZP,0.8225260824355918,High Risk,Month-to-month,7,93.85
8161-QYMTT,0.8216036285413469,High Risk,Month-to-month,7,94.1
4750-ZRXIU,0.8213390848683658,High Risk,Month-to-month,4,84.6
3793-MMFUH,0.8205814401287196,High Risk,Month-to-month,13,95.05
0107-YHINA,0.8194729022867617,High Risk,Month-to-month,1,99.75
6350-XFYGW,0.8193310714711487,High Risk,Month-to-month,4,94.75
6521-YYTYI,0.8175483311319943,High Risk,Month-to-month,1,93.3
4145-UQXUQ,0.8128891526671416,High Risk,Month-to-month,8,92.1
7943-RQCHR,0.8125327768695374,High Risk,Month-to-month,9,94.75
9061-TIHDA,0.8123792114132395,High Risk,Month-to-month,13,95.25
1455-UGQVH,0.8123232166877409,High Risk,Month-to-month,10,98.5
2968-SSGAA,0.8118240296322066,High Risk,Month-to-month,10,100.6
4912-PIGUY,0.8112422428107025,High Risk,Month-to-month,1,84.6
1075-BGWOH,0.8107212707771928,High Risk,Month-to-month,16,98.75
3320-VEOYC,0.8103841039298826,High Risk,Month-to-month,14,95.6
8775-LHDJH,0.8096341853947935,High Risk,Month-to-month,1,90.6
0196-VULGZ,0.8081058206370172,High Risk,Month-to-month,6,84.35
1724-BQUHA,0.8078125295971949,High Risk,Month-to-month,5,89.5
9546-CQJSU,0.8068221427931929,High Risk,Month-to-month,2,91.4
0897-FEGMU,0.806649920857123,High Risk,Month-to-month,11,99.5
4847-TAJYI,0.8066016958299781,High Risk,Month-to-month,6,89.35
2205-YMZZJ,0.8065453911975972,High Risk,Month-to-month,7,84.8
0564-JJHGS,0.8063492101975268,High Risk,Month-to-month,9,95.5
4078-SAYYN,0.8061812485923818,High Risk,Month-to-month,11,100.75
6969-MVBAI,0.8061805573708486,High Risk,Month-to-month,9,90.1
7668-XCFYV,0.8059455204424462,High Risk,Month-to-month,17,92.55
4587-VVTOX,0.8057965005961928,High Risk,Month-to-month,6,105.3
9282-IZGQK,0.8055440057501574,High Risk,Month-to-month,1,85.0
2656-TABEH,0.8053722974193548,High Risk,Month-to-month,4,100.2
0021-IKXGC,0.8041741927864992,High Risk,Month-to-month,1,72.1
7234-FECYN,0.8041379706783769,High Risk,Month-to-month,8,101.35
5935-FCCNB,0.8038897058371424,High Risk,Month-to-month,17,94.2
3489-HHPFY,0.8038778327509315,High Risk,Month-to-month,2,84.05
3722-WPXTK,0.8027483179918835,High Risk,Month-to-month,1,88.35
4115-NZRKS,0.80224515368415,High Risk,Month-to-month,7,89.15
8972-HJWNV,0.8021786121881411,High Risk,Month-to-month,7,84.55
5565-FILXA,0.8012829995924723,High Risk,Month-to-month,16,96.15
9221-OTIVJ,0.801096917428813,High Risk,Month-to-month,14,104.85
1304-NECVQ,0.8010403030094971,High Risk,Month-to-month,2,78.55
2265-CYWIV,0.8010355042627987,High Risk,Month-to-month,4,99.6
3319-DWOEP,0.801005858339674,High Risk,Month-to-month,6,95.75
2982-VPSGI,0.8008264192629588,High Risk,Month-to-month,11,94.0
8245-UMPYT,0.8002769413800446,High Risk,Month-to-month,16,96.4
8414-MYSHR,0.8002616529568343,High Risk,Month-to-month,5,91.4
1455-ESIQH,0.799735446091602,High Risk,Month-to-month,1,89.1
5519-NPHVG,0.7993464761475476,High Risk,Month-to-month,12,94.2
5383-MMTWC,0.7991681825769835,High Risk,Month-to-month,8,84.0
7577-SWIFR,0.7991287493613854,High Risk,Month-to-month,1,89.25
4927-WWOOZ,0.79875454868349,High Risk,Month-to-month,2,91.45
0259-GBZSH,0.798622269854804,High Risk,Month-to-month,2,85.65
0970-ETWGE,0.7979112308048004,High Risk,Month-to-month,1,89.55
1143-NMNQJ,0.7975282783930895,High Risk,Month-to-month,2,85.7
8058-JMEQO,0.7966593569570487,High Risk,Month-to-month,9,84.45
1875-QIVME,0.7966465973685275,High Risk,Month-to-month,2,104.4
3027-ZTDHO,0.7964838382759255,High Risk,Month-to-month,1,89.9
3811-VBYBZ,0.795861167182171,High Risk,Month-to-month,7,99.8
8603-IJWDN,0.7957237071333798,High Risk,Month-to-month,1,86.6
1833-VGRUM,0.7956974574671073,High Risk,Month-to-month,1,74.2
9965-YOKZB,0.7956795630312791,High Risk,Month-to-month,9,83.85
6683-VLCTZ,0.7953253667403686,High Risk,Month-to-month,20,98.55
0754-UKWQP,0.7953193402921497,High Risk,Month-to-month,2,95.85
0187-QSXOE,0.7948590730365964,High Risk,Month-to-month,7,89.0
3606-TWKGI,0.7946223639293133,High Risk,Month-to-month,13,106.9
8473-VUVJN,0.7945083786493321,High Risk,Month-to-month,1,73.65
5380-AFSSK,0.7944688667546733,High Risk,Month-to-month,5,93.9
7274-RTAPZ,0.7938130867620912,High Risk,Month-to-month,1,90.55
7225-CBZPL,0.7934662772459599,High Risk,Month-to-month,17,94.8
7398-SKNQZ,0.7928687611909703,High Risk,Month-to-month,3,94.9
8739-XNIKG,0.7928661090283252,High Risk,Month-to-month,5,84.0
6474-FVJLC,0.7928476669865979,High Risk,Month-to-month,2,86.0
9134-CEQMF,0.7927948222320591,High Risk,Month-to-month,7,89.5
2034-GDRCN,0.7925367043706918,High Risk,Month-to-month,2,90.4
7488-MXJIV,0.7914031744327333,High Risk,Month-to-month,4,85.65
3551-HUAZH,0.7914023528250065,High Risk,Month-to-month,1,74.4
9611-CTWIH,0.7910905233748957,High Risk,Month-to-month,3,89.45
2642-DTVCO,0.7907143254018126,High Risk,Month-to-month,9,85.05
8593-WHYHV,0.7903600918461712,High Risk,Month-to-month,3,85.3
6513-EECDB,0.7902298245639852,High Risk,Month-to-month,1,73.55
5240-IJOQT,0.7901503008917683,High Risk,Month-to-month,1,74.7
1658-BYGOY,0.7900693083017921,High Risk,Month-to-month,18,95.45
0723-DRCLG,0.7899760783352114,High Risk,Month-to-month,1,74.45
6230-BSUXY,0.7898578679032185,High Risk,Month-to-month,1,85.0
8337-UPOAQ,0.7898146925227439,High Risk,Month-to-month,10,89.8
3902-FOIGH,0.7894420659497109,High Risk,Month-to-month,12,101.35
